iter	MAE
0	0.4972436907
1	0.4783286222
2	0.4604124668
3	0.4448185762
4	0.4280655199
5	0.413169148
6	0.4011570689
7	0.3887321353
8	0.375941789
9	0.3638963628
10	0.3526140079
11	0.3417797216
12	0.3325963133
13	0.3247650445
14	0.3160854633
15	0.3078817937
16	0.3004656661
17	0.292216371
18	0.2859892324
19	0.279243442
20	0.2736548997
21	0.2691791341
22	0.2640047401
23	0.259104246
24	0.2538382283
25	0.2484674296
26	0.2443577498
27	0.2401863234
28	0.2363644848
29	0.2327878848
30	0.2290956686
31	0.225532398
32	0.2214403642
33	0.217579202
34	0.2144640223
35	0.2118457774
36	0.2087125626
37	0.2059124848
38	0.2036683845
39	0.2013796405
40	0.1996937054
41	0.1975032507
42	0.194978795
43	0.1927845696
44	0.19087308
45	0.1889271666
46	0.1873523843
47	0.1855597652
48	0.1839114843
49	0.1824071044
50	0.1813617344
51	0.1799622889
52	0.1785331991
53	0.1770290568
54	0.1758620925
55	0.1745684587
56	0.1732041853
57	0.1724227963
58	0.1712183853
59	0.1704687157
60	0.1691952283
61	0.1677374188
62	0.1666219727
63	0.1655137814
64	0.1645971901
65	0.1637404258
66	0.1626515276
67	0.1617004792
68	0.1607183902
69	0.1596784706
70	0.1591205087
71	0.1580167568
72	0.1572592641
73	0.1563539774
74	0.1556679514
75	0.1547662202
76	0.1540242816
77	0.1536539858
78	0.1530997741
79	0.1522052323
80	0.1516694915
81	0.1510299105
82	0.1503512601
83	0.1497443869
84	0.149168027
85	0.1484598202
86	0.1479527346
87	0.1475199756
88	0.1467384923
89	0.1460380339
90	0.1451589146
91	0.1444914778
92	0.1440279771
93	0.1434477306
94	0.1433542534
95	0.1430060564
96	0.1426493242
97	0.1419714345
98	0.1416788051
99	0.141265367
100	0.1409251776
101	0.1407006661
102	0.140125233
103	0.1397346791
104	0.1393223838
105	0.1389110756
106	0.1387561168
107	0.1382476476
108	0.1376492177
109	0.1374284349
110	0.137047407
111	0.1364577216
112	0.1359034749
113	0.135521226
114	0.1352121199
115	0.1349364556
116	0.1343006459
117	0.1336814752
118	0.1334550083
119	0.1332125136
120	0.1328814491
121	0.1326251854
122	0.1323149372
123	0.1319119883
124	0.1316645809
125	0.1311732806
126	0.130935438
127	0.1305433553
128	0.1302827511
129	0.1298404741
130	0.129640974
131	0.12901515
132	0.1286394859
133	0.1283333099
134	0.1275483162
135	0.1273110216
136	0.126992768
137	0.1265964528
138	0.1263765904
139	0.1262629201
140	0.1260759793
141	0.1259335867
142	0.1257202987
143	0.1254760141
144	0.1250227454
145	0.1246328373
146	0.1242106616
147	0.1237773251
148	0.1233789708
149	0.1229871635
150	0.122631683
151	0.1224639807
152	0.1221019577
153	0.1217716891
154	0.1214375174
155	0.1211288415
156	0.1209187671
157	0.1206841389
158	0.1204056868
159	0.1199646757
160	0.1196714289
161	0.1193549303
162	0.1191212023
163	0.1189295524
164	0.118510198
165	0.1181434363
166	0.1178986955
167	0.1176383345
168	0.1174914589
169	0.1170319423
170	0.1167839262
171	0.1166384787
172	0.1162788348
173	0.1161143706
174	0.1159682877
175	0.1157177098
176	0.1153580573
177	0.1148573799
178	0.1146630534
179	0.1145133541
180	0.1142861661
181	0.1140949684
182	0.1136552407
183	0.1134928619
184	0.1133401883
185	0.1132365445
186	0.1131111781
187	0.1126929325
188	0.1125932039
189	0.112373711
190	0.1121535322
191	0.1119974088
192	0.1117975184
193	0.1116065363
194	0.1114440076
195	0.1112860711
196	0.1110772253
197	0.1108344896
198	0.1106688255
199	0.1105581625
200	0.1102069053
201	0.1099804698
202	0.1097620031
203	0.109487349
204	0.1092832057
205	0.1091165632
206	0.1088956756
207	0.1087790779
208	0.1086327861
209	0.1083202482
210	0.1081674564
211	0.1079145732
212	0.1077329451
213	0.1076020084
214	0.1074304254
215	0.1070159883
216	0.1067034232
217	0.1065128012
218	0.1063877433
219	0.1063365301
220	0.1060810421
221	0.105855362
222	0.1055882941
223	0.1055140206
224	0.1052694337
225	0.1050811629
226	0.1049785328
227	0.1048378061
228	0.1046760736
